date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,cumulativeDeaths,cumulativeInfected,cumulativePositiveTests,cumulativeNegativeTests,countyfips,county,lat,long
2020-03-07,0,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-03-11,0,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-03-15,0,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-03-19,0,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-03-23,0,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-03-27,0,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-03-31,0,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-04-04,2,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-04-08,3,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-04-12,5,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-04-16,9,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-04-20,11,40,0,0,0,0,0,0,,,13001,Appling,31.74847232,-82.28909114
2020-04-24,11,40,0,0,0,3,2,0,,,13001,Appling,31.74847232,-82.28909114
2020-04-28,14,40,3,0,1,3,2,610,,,13001,Appling,31.74847232,-82.28909114
2020-05-02,28,40,9,0,5,3,3,2083,,,13001,Appling,31.74847232,-82.28909114
2020-05-06,58,40,21,0,12,3,6,4875,,,13001,Appling,31.74847232,-82.28909114
2020-05-10,105,40,41,0,23,3,14,8787,,,13001,Appling,31.74847232,-82.28909114
2020-05-14,154,40,64,0,35,3,27,12506,,,13001,Appling,31.74847232,-82.28909114
2020-05-18,180,40,81,0,43,3,45,14981,,,13001,Appling,31.74847232,-82.28909114
2020-05-22,177,40,87,0,46,3,65,16291,,,13001,Appling,31.74847232,-82.28909114
2020-05-26,157,40,86,0,43,3,85,16915,,,13001,Appling,31.74847232,-82.28909114
2020-05-30,130,40,79,0,37,3,103,17206,,,13001,Appling,31.74847232,-82.28909114
2020-06-03,104,40,70,0,31,3,118,17343,,,13001,Appling,31.74847232,-82.28909114
2020-06-07,83,40,61,0,25,3,130,17410,,,13001,Appling,31.74847232,-82.28909114
2020-06-11,66,40,52,0,20,3,140,17444,,,13001,Appling,31.74847232,-82.28909114
2020-06-15,52,40,44,0,16,3,148,17461,,,13001,Appling,31.74847232,-82.28909114
2020-06-19,43,40,38,0,12,3,155,17470,,,13001,Appling,31.74847232,-82.28909114
2020-06-23,35,40,32,0,9,3,161,17475,,,13001,Appling,31.74847232,-82.28909114
2020-06-27,29,40,27,0,7,3,166,17477,,,13001,Appling,31.74847232,-82.28909114
2020-07-01,24,40,24,0,5,3,170,17479,,,13001,Appling,31.74847232,-82.28909114
2020-07-05,21,40,20,0,4,3,173,17480,,,13001,Appling,31.74847232,-82.28909114
2020-07-09,18,40,17,0,3,3,176,17481,,,13001,Appling,31.74847232,-82.28909114
2020-07-13,15,40,15,0,2,3,178,17481,,,13001,Appling,31.74847232,-82.28909114
2020-07-17,13,40,13,0,2,3,180,17481,,,13001,Appling,31.74847232,-82.28909114
2020-07-21,11,40,11,0,1,3,182,17481,,,13001,Appling,31.74847232,-82.28909114
2020-03-07,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-03-11,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-03-15,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-03-19,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-03-23,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-03-27,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-03-31,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-04-04,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-04-08,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-04-12,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-04-16,0,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-04-20,1,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-04-24,1,0,0,0,0,0,0,0,,,13003,Atkinson,31.29633502,-82.87545866
2020-04-28,1,0,0,0,0,0,0,67,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-02,3,0,1,0,0,0,0,245,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-06,7,0,2,0,1,0,0,668,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-10,17,0,6,0,3,0,1,1555,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-14,34,0,13,0,7,0,4,3039,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-18,56,0,22,0,12,0,8,4794,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-22,74,0,32,0,17,0,15,6209,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-26,80,0,37,0,20,0,24,7052,,,13003,Atkinson,31.29633502,-82.87545866
2020-05-30,74,0,38,0,19,0,33,7476,,,13003,Atkinson,31.29633502,-82.87545866
2020-06-03,64,0,36,0,18,0,41,7675,,,13003,Atkinson,31.29633502,-82.87545866
2020-06-07,52,0,33,0,15,0,49,7769,,,13003,Atkinson,31.29633502,-82.87545866
2020-06-11,41,0,29,0,12,0,55,7814,,,13003,Atkinson,31.29633502,-82.87545866
2020-06-15,33,0,25,0,10,0,60,7836,,,13003,Atkinson,31.29633502,-82.87545866
2020-06-19,26,0,21,0,8,0,64,7848,,,13003,Atkinson,31.29633502,-82.87545866
2020-06-23,21,0,18,0,6,0,68,7854,,,13003,Atkinson,31.29633502,-82.87545866
2020-06-27,17,0,15,0,4,0,71,7857,,,13003,Atkinson,31.29633502,-82.87545866
2020-07-01,14,0,13,0,3,0,73,7859,,,13003,Atkinson,31.29633502,-82.87545866
2020-07-05,12,0,11,0,2,0,75,7860,,,13003,Atkinson,31.29633502,-82.87545866
2020-07-09,10,0,9,0,2,0,77,7860,,,13003,Atkinson,31.29633502,-82.87545866
2020-07-13,8,0,8,0,1,0,78,7860,,,13003,Atkinson,31.29633502,-82.87545866
2020-07-17,7,0,7,0,1,0,79,7861,,,13003,Atkinson,31.29633502,-82.87545866
2020-07-21,6,0,6,0,1,0,80,7861,,,13003,Atkinson,31.29633502,-82.87545866
2020-03-07,0,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-03-11,0,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-03-15,0,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-03-19,0,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-03-23,0,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-03-27,0,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-03-31,1,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-04-04,1,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-04-08,3,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-04-12,3,20,0,0,0,0,0,0,,,13005,Bacon,31.55456473,-82.45936528
2020-04-16,4,20,0,0,0,0,1,0,,,13005,Bacon,31.55456473,-82.45936528
2020-04-20,4,20,0,0,0,0,1,0,,,13005,Bacon,31.55456473,-82.45936528
2020-04-24,5,20,0,0,0,4,1,0,,,13005,Bacon,31.55456473,-82.45936528
2020-04-28,6,20,1,0,0,4,1,263,,,13005,Bacon,31.55456473,-82.45936528
2020-05-02,12,20,4,0,2,4,1,922,,,13005,Bacon,31.55456473,-82.45936528
2020-05-06,26,20,9,0,5,4,2,2275,,,13005,Bacon,31.55456473,-82.45936528
2020-05-10,51,20,20,0,11,4,6,4436,,,13005,Bacon,31.55456473,-82.45936528
2020-05-14,82,20,33,0,18,4,13,6834,,,13005,Bacon,31.55456473,-82.45936528
2020-05-18,104,20,45,0,25,4,23,8653,,,13005,Bacon,31.55456473,-82.45936528
2020-05-22,109,20,52,0,27,4,35,9693,,,13005,Bacon,31.55456473,-82.45936528
2020-05-26,100,20,53,0,27,4,47,10204,,,13005,Bacon,31.55456473,-82.45936528
2020-05-30,85,20,49,0,24,4,58,10444,,,13005,Bacon,31.55456473,-82.45936528
2020-06-03,69,20,44,0,20,4,68,10556,,,13005,Bacon,31.55456473,-82.45936528
2020-06-07,55,20,39,0,16,4,76,10610,,,13005,Bacon,31.55456473,-82.45936528
2020-06-11,43,20,33,0,13,4,83,10637,,,13005,Bacon,31.55456473,-82.45936528
2020-06-15,34,20,28,0,10,4,88,10651,,,13005,Bacon,31.55456473,-82.45936528
2020-06-19,28,20,24,0,8,4,93,10658,,,13005,Bacon,31.55456473,-82.45936528
2020-06-23,23,20,21,0,6,4,97,10662,,,13005,Bacon,31.55456473,-82.45936528
2020-06-27,19,20,18,0,5,4,100,10664,,,13005,Bacon,31.55456473,-82.45936528
2020-07-01,16,20,15,0,3,4,102,10665,,,13005,Bacon,31.55456473,-82.45936528
2020-07-05,13,20,13,0,2,4,104,10666,,,13005,Bacon,31.55456473,-82.45936528
2020-07-09,11,20,11,0,2,4,106,10666,,,13005,Bacon,31.55456473,-82.45936528
2020-07-13,10,20,9,0,1,4,108,10666,,,13005,Bacon,31.55456473,-82.45936528
2020-07-17,8,20,8,0,1,4,109,10667,,,13005,Bacon,31.55456473,-82.45936528
2020-07-21,7,20,7,0,1,4,110,10667,,,13005,Bacon,31.55456473,-82.45936528
2020-03-07,0,0,0,0,0,0,0,0,,,13007,Baker,31.32669878,-84.44218806
2020-03-11,0,0,0,0,0,0,0,0,,,13007,Baker,31.32669878,-84.44218806
2020-03-15,0,0,0,0,0,0,0,0,,,13007,Baker,31.32669878,-84.44218806
2020-03-19,0,0,0,0,0,0,0,0,,,13007,Baker,31.32669878,-84.44218806
2020-03-23,0,0,0,0,0,0,0,0,,,13007,Baker,31.32669878,-84.44218806
2020-03-27,0,0,0,0,0,0,1,0,,,13007,Baker,31.32669878,-84.44218806
2020-03-31,0,0,0,0,0,0,1,0,,,13007,Baker,31.32669878,-84.44218806
2020-04-04,1,0,0,0,0,0,1,0,,,13007,Baker,31.32669878,-84.44218806
2020-04-08,2,0,0,0,0,0,2,0,,,13007,Baker,31.32669878,-84.44218806
2020-04-12,3,0,0,0,0,0,2,0,,,13007,Baker,31.32669878,-84.44218806
2020-04-16,4,0,0,0,0,0,2,0,,,13007,Baker,31.32669878,-84.44218806
2020-04-20,4,0,0,0,0,0,2,0,,,13007,Baker,31.32669878,-84.44218806
2020-04-24,5,0,0,0,0,0,2,0,,,13007,Baker,31.32669878,-84.44218806
